Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.27E+03,2.27E+03,0,0,0,0
SPX US 2/17/2017 C2200 Index,2200,6.89E+01,7.75E+01,0,0,42,42
SPX US 2/17/2017 P2200 Index,2200,6.70E+00,7.70E+00,1,0,461,458
SPX US 2/17/2017 C2205 Index,2205,6.45E+01,7.31E+01,0,0,42,43
SPX US 2/17/2017 P2205 Index,2205,7.20E+00,8.40E+00,1,0,450,447
SPX US 2/17/2017 C2210 Index,2210,6.03E+01,6.87E+01,0,0,42,42
SPX US 2/17/2017 P2210 Index,2210,7.80E+00,9.10E+00,1,0,438,436
SPX US 2/17/2017 C2215 Index,2215,5.56E+01,6.44E+01,0,0,42,43
SPX US 2/17/2017 P2215 Index,2215,8.40E+00,9.70E+00,1,0,423,426
SPX US 2/17/2017 C2220 Index,2220,5.14E+01,6.01E+01,0,0,42,43
SPX US 2/17/2017 P2220 Index,2220,9.20E+00,1.06E+01,1,0,413,411
SPX US 2/17/2017 C2225 Index,2225,4.73E+01,5.56E+01,0,0,42,42
SPX US 2/17/2017 P2225 Index,2225,10,1.13E+01,1,0,402,399
SPX US 2/17/2017 C2230 Index,2230,4.36E+01,5.15E+01,0,0,42,42
SPX US 2/17/2017 P2230 Index,2230,1.07E+01,1.22E+01,1,0,387,387
SPX US 2/17/2017 C2235 Index,2235,3.92E+01,4.74E+01,0,0,42,42
SPX US 2/17/2017 P2235 Index,2235,1.16E+01,1.32E+01,1,0,376,376
SPX US 2/17/2017 C2240 Index,2240,3.53E+01,44,0,0,42,42
SPX US 2/17/2017 P2240 Index,2240,1.26E+01,1.44E+01,1,0,365,365
SPX US 2/17/2017 C2245 Index,2245,3.41E+01,3.67E+01,0,0,312,312
SPX US 2/17/2017 P2245 Index,2245,1.39E+01,1.56E+01,1,0,355,355
SPX US 2/17/2017 C2250 Index,2250,3.02E+01,3.29E+01,0,0,321,321
SPX US 2/17/2017 P2250 Index,2250,15,17,1,0,346,346
SPX US 2/17/2017 C2255 Index,2255,27,2.93E+01,0,0,328,328
SPX US 2/17/2017 P2255 Index,2255,1.66E+01,1.87E+01,1,0,338,338
SPX US 2/17/2017 C2260 Index,2260,2.34E+01,2.59E+01,0,0,332,332
SPX US 2/17/2017 P2260 Index,2260,1.85E+01,2.01E+01,1,0,5,335
SPX US 2/17/2017 C2265 Index,2265,2.03E+01,22,0,0,336,4
SPX US 2/17/2017 P2265 Index,2265,1.99E+01,22,1,0,333,336
SPX US 2/17/2017 C2270 Index,2270,1.74E+01,1.96E+01,0,0,337,337
SPX US 2/17/2017 P2270 Index,2270,2.18E+01,2.41E+01,1,0,330,330
SPX US 2/17/2017 C2275 Index,2275,1.49E+01,1.64E+01,0,0,346,3
SPX US 2/17/2017 P2275 Index,2275,2.39E+01,2.64E+01,1,0,321,321
SPX US 2/17/2017 C2280 Index,2280,1.23E+01,1.43E+01,0,0,361,361
SPX US 2/17/2017 P2280 Index,2280,2.63E+01,2.89E+01,1,0,306,306
SPX US 2/17/2017 C2285 Index,2285,1.03E+01,1.19E+01,0,0,382,382
SPX US 2/17/2017 P2285 Index,2285,26,3.44E+01,1,0,42,42
SPX US 2/17/2017 C2290 Index,2290,8.40E+00,9.70E+00,0,0,411,411
SPX US 2/17/2017 P2290 Index,2290,2.85E+01,3.64E+01,1,0,50,46
SPX US 2/17/2017 C2295 Index,2295,6.70E+00,7.90E+00,0,0,442,442
SPX US 2/17/2017 P2295 Index,2295,3.18E+01,4.05E+01,1,0,42,42
SPX US 2/17/2017 C2300 Index,2300,5.30E+00,6.30E+00,0,0,479,381
SPX US 2/17/2017 P2300 Index,2300,3.57E+01,4.41E+01,1,0,42,1
