Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.27E+03,2.27E+03,0,0,0,0
SPX US 2/17/2017 C2000 Index,2000,2.64E+02,2.68E+02,0,0,51,50
SPX US 2/17/2017 P2000 Index,2000,8.00E-01,1.35E+00,1,0,1072,956
SPX US 2/17/2017 C2005 Index,2005,259,2.63E+02,0,0,51,50
SPX US 2/17/2017 P2005 Index,2005,8.00E-01,1.40E+00,1,0,1112,1057
SPX US 2/17/2017 C2010 Index,2010,254,2.58E+02,0,0,51,50
SPX US 2/17/2017 P2010 Index,2010,8.50E-01,1.45E+00,1,0,1045,1235
SPX US 2/17/2017 C2015 Index,2015,2.49E+02,2.53E+02,0,0,51,50
SPX US 2/17/2017 P2015 Index,2015,9.00E-01,1.45E+00,1,0,1020,951
SPX US 2/17/2017 C2020 Index,2020,2.44E+02,2.48E+02,0,0,51,50
SPX US 2/17/2017 P2020 Index,2020,9.50E-01,1.50E+00,1,0,946,1003
SPX US 2/17/2017 C2025 Index,2025,2.39E+02,2.43E+02,0,0,51,50
SPX US 2/17/2017 P2025 Index,2025,9.50E-01,1.55E+00,1,0,1086,989
SPX US 2/17/2017 C2030 Index,2030,2.34E+02,2.38E+02,0,0,51,50
SPX US 2/17/2017 P2030 Index,2030,1,1.60E+00,1,0,1065,997
SPX US 2/17/2017 C2035 Index,2035,2.29E+02,2.34E+02,0,0,51,50
SPX US 2/17/2017 P2035 Index,2035,1.05E+00,1.65E+00,1,0,1007,1029
SPX US 2/17/2017 C2040 Index,2040,2.24E+02,2.29E+02,0,0,51,50
SPX US 2/17/2017 P2040 Index,2040,1.10E+00,1.70E+00,1,0,1022,1117
SPX US 2/17/2017 C2045 Index,2045,2.20E+02,2.24E+02,0,0,51,50
SPX US 2/17/2017 P2045 Index,2045,1.15E+00,1.75E+00,1,0,1009,1100
SPX US 2/17/2017 C2050 Index,2050,2.15E+02,2.19E+02,0,0,51,50
SPX US 2/17/2017 P2050 Index,2050,1.20E+00,1.60E+00,1,0,1006,59
SPX US 2/17/2017 C2055 Index,2055,2.10E+02,2.14E+02,0,0,51,50
SPX US 2/17/2017 P2055 Index,2055,1.25E+00,1.85E+00,1,0,994,1034
SPX US 2/17/2017 C2060 Index,2060,2.05E+02,2.09E+02,0,0,50,51
SPX US 2/17/2017 P2060 Index,2060,1.30E+00,1.95E+00,1,0,977,1161
SPX US 2/17/2017 C2065 Index,2065,2.00E+02,2.04E+02,0,0,50,51
SPX US 2/17/2017 P2065 Index,2065,1.40E+00,2,1,0,882,1088
SPX US 2/17/2017 C2070 Index,2070,195,199,0,0,50,51
SPX US 2/17/2017 P2070 Index,2070,1.50E+00,2,1,0,883,676
SPX US 2/17/2017 C2075 Index,2075,1.90E+02,1.94E+02,0,0,50,51
SPX US 2/17/2017 P2075 Index,2075,1.70E+00,2,1,0,50,54
SPX US 2/17/2017 C2080 Index,2080,1.85E+02,1.89E+02,0,0,50,51
SPX US 2/17/2017 P2080 Index,2080,1.65E+00,2.25E+00,1,0,741,1111
SPX US 2/17/2017 C2085 Index,2085,180,184,0,0,50,51
SPX US 2/17/2017 P2085 Index,2085,1.65E+00,2.25E+00,1,0,936,725
SPX US 2/17/2017 C2090 Index,2090,1.75E+02,1.79E+02,0,0,50,51
SPX US 2/17/2017 P2090 Index,2090,1.80E+00,2.40E+00,1,0,786,984
SPX US 2/17/2017 C2095 Index,2095,1.70E+02,1.74E+02,0,0,50,51
SPX US 2/17/2017 P2095 Index,2095,1.90E+00,2.45E+00,1,0,827,673
