Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.27E+03,2.27E+03,0,0,0,0
SPX US 2/17/2017 C2200 Index,2200,74,7.54E+01,0,0,46,51
SPX US 2/17/2017 P2200 Index,2200,1.08E+01,1.17E+01,1,0,625,557
SPX US 2/17/2017 C2205 Index,2205,6.88E+01,7.12E+01,0,0,50,51
SPX US 2/17/2017 P2205 Index,2205,1.15E+01,1.25E+01,1,0,620,626
SPX US 2/17/2017 C2210 Index,2210,6.47E+01,67,0,0,50,51
SPX US 2/17/2017 P2210 Index,2210,1.24E+01,1.33E+01,1,0,625,441
SPX US 2/17/2017 C2215 Index,2215,6.06E+01,6.28E+01,0,0,50,51
SPX US 2/17/2017 P2215 Index,2215,1.32E+01,1.42E+01,1,0,597,541
SPX US 2/17/2017 C2220 Index,2220,5.66E+01,5.87E+01,0,0,50,51
SPX US 2/17/2017 P2220 Index,2220,1.42E+01,1.51E+01,1,0,540,451
SPX US 2/17/2017 C2225 Index,2225,5.26E+01,5.47E+01,0,0,50,51
SPX US 2/17/2017 P2225 Index,2225,1.52E+01,1.61E+01,1,0,537,402
SPX US 2/17/2017 C2230 Index,2230,4.88E+01,5.08E+01,0,0,49,51
SPX US 2/17/2017 P2230 Index,2230,1.63E+01,1.73E+01,1,0,521,443
SPX US 2/17/2017 C2235 Index,2235,4.51E+01,47,0,0,49,51
SPX US 2/17/2017 P2235 Index,2235,1.75E+01,1.87E+01,1,0,488,490
SPX US 2/17/2017 C2240 Index,2240,4.15E+01,4.34E+01,0,0,49,51
SPX US 2/17/2017 P2240 Index,2240,1.88E+01,1.98E+01,1,0,467,411
SPX US 2/17/2017 C2245 Index,2245,3.83E+01,3.96E+01,0,0,153,424
SPX US 2/17/2017 P2245 Index,2245,2.02E+01,2.15E+01,1,0,507,536
SPX US 2/17/2017 C2250 Index,2250,3.47E+01,3.61E+01,0,0,153,424
SPX US 2/17/2017 P2250 Index,2250,2.17E+01,2.27E+01,1,0,154,370
SPX US 2/17/2017 C2255 Index,2255,3.14E+01,3.27E+01,0,0,153,424
SPX US 2/17/2017 P2255 Index,2255,2.33E+01,2.47E+01,1,0,154,322
SPX US 2/17/2017 C2260 Index,2260,2.82E+01,2.95E+01,0,0,154,424
SPX US 2/17/2017 P2260 Index,2260,25,2.61E+01,1,0,154,154
SPX US 2/17/2017 C2265 Index,2265,2.51E+01,2.65E+01,0,0,154,424
SPX US 2/17/2017 P2265 Index,2265,2.68E+01,2.84E+01,1,0,358,424
SPX US 2/17/2017 C2270 Index,2270,2.22E+01,2.36E+01,0,0,401,633
SPX US 2/17/2017 P2270 Index,2270,29,3.03E+01,1,0,154,330
SPX US 2/17/2017 C2275 Index,2275,1.94E+01,2.07E+01,0,0,400,590
SPX US 2/17/2017 P2275 Index,2275,31,3.26E+01,1,0,220,290
SPX US 2/17/2017 C2280 Index,2280,1.69E+01,1.82E+01,0,0,425,604
SPX US 2/17/2017 P2280 Index,2280,3.35E+01,3.56E+01,1,0,47,51
SPX US 2/17/2017 C2285 Index,2285,1.48E+01,1.59E+01,0,0,154,595
SPX US 2/17/2017 P2285 Index,2285,3.61E+01,3.82E+01,1,0,47,51
SPX US 2/17/2017 C2290 Index,2290,1.26E+01,1.38E+01,0,0,462,589
SPX US 2/17/2017 P2290 Index,2290,3.88E+01,4.09E+01,1,0,47,1
SPX US 2/17/2017 C2295 Index,2295,1.07E+01,1.18E+01,0,0,440,609
SPX US 2/17/2017 P2295 Index,2295,4.19E+01,4.45E+01,1,0,47,51
SPX US 2/17/2017 C2300 Index,2300,9.50E+00,1.01E+01,0,0,51,635
SPX US 2/17/2017 P2300 Index,2300,4.51E+01,4.79E+01,1,0,48,51
